step,episode,ep_reward,ep_steps,success,p_hidden,critic_loss,actor_loss,coverage_loss,alpha
1385,277,-5.3718,5,0,0.9268,242.6591,4.4589,0.0803,0.1924
1390,278,-21.7483,5,0,0.9678,201.3016,5.9752,0.0410,0.1923
1395,279,-37.7641,5,0,0.9421,195.7118,4.6380,0.0614,0.1922
1400,280,-32.8672,5,0,0.9582,355.5021,4.6815,0.0389,0.1921
1405,281,28.1941,5,0,0.9647,176.4686,4.7213,3.4345,0.1920
1410,282,-10.7210,5,0,0.9687,201.7382,4.1896,0.0358,0.1919
1415,283,-10.7086,5,0,0.9622,202.6376,5.8672,0.0371,0.1918
1420,284,-10.1922,5,0,0.8858,191.5074,4.1350,0.1024,0.1917
1425,285,-37.4873,5,0,0.8387,228.2850,5.5927,0.1243,0.1916
1430,286,-10.6326,5,0,0.9635,255.7851,5.1750,0.0474,0.1915
1435,287,-26.5812,5,0,0.9363,235.8995,5.1057,0.0736,0.1914
1440,288,-21.6864,5,0,0.9561,209.3045,5.0894,0.0511,0.1913
1445,289,-42.7853,5,0,0.9563,202.5207,5.4871,0.0551,0.1912
1450,290,-10.5297,5,0,0.9419,222.9987,6.9160,0.0613,0.1912
1455,291,-16.6980,5,0,0.9481,201.3632,4.1139,0.0515,0.1911
1460,292,5.2959,5,0,0.9645,228.7797,6.5230,0.0301,0.1910
1465,293,-10.7457,5,0,0.9715,223.5259,5.4226,0.0321,0.1909
1470,294,44.2336,5,0,0.9698,268.9496,5.6009,3.5151,0.1908
1475,295,6.0469,5,0,0.9047,235.9635,6.0609,0.1107,0.1907
1480,296,5.4358,5,0,0.9578,260.7342,6.5604,0.0446,0.1906
1485,297,-27.7894,5,0,0.9411,242.2877,4.8509,0.0572,0.1905
1490,298,-53.9117,5,0,0.9550,226.6780,6.5732,0.0474,0.1904
1495,299,-5.3417,5,0,0.9251,162.1251,6.0225,0.0843,0.1903
1500,300,-10.4633,5,0,0.9362,253.3638,4.2151,0.0722,0.1902
1505,301,-10.4183,5,0,0.9275,229.1152,7.0251,0.0754,0.1901
1510,302,-5.4159,5,0,0.9326,229.1022,7.0963,0.0782,0.1900
1515,303,-53.7100,5,0,0.8788,206.0989,7.3995,0.1462,0.1899
1520,304,-5.4714,5,0,0.9248,252.4883,6.2630,0.0728,0.1898
1525,305,-32.7401,5,0,0.9412,232.5311,6.8203,0.0635,0.1897
1530,306,-32.7070,5,0,0.8967,176.6112,8.5793,0.0817,0.1896
1535,307,5.3742,5,0,0.9685,232.2218,7.3438,0.0381,0.1895
1540,308,5.3641,5,0,0.9636,241.4156,9.0379,0.0371,0.1894
1545,309,39.2512,5,0,0.9579,284.9580,4.8978,2.6930,0.1893
1550,310,5.3460,5,0,0.9622,210.5880,8.0523,0.0352,0.1892
1555,311,22.3346,5,0,0.9085,251.7214,4.4449,0.9965,0.1891
1560,312,-21.4875,5,0,0.9267,281.5966,5.9760,0.0853,0.1890
1565,313,-5.4209,5,0,0.9329,256.4051,7.2841,0.0748,0.1890
1570,314,-32.7046,5,0,0.9308,294.8124,6.4520,0.0731,0.1889
1575,315,5.6858,5,0,0.9404,280.5300,7.2497,0.0711,0.1888
1580,316,-10.4797,5,0,0.9437,252.4384,5.0858,0.0654,0.1887
1585,317,-37.6408,5,0,0.9121,336.3423,8.2978,0.0984,0.1886
1590,318,-21.1247,5,0,0.8623,241.8252,7.8386,0.1579,0.1885
1595,319,-58.7750,5,0,0.8877,244.8036,5.7499,0.1143,0.1884
1600,320,-10.1558,5,0,0.9058,261.0302,9.4136,0.1120,0.1883
1605,321,-16.7416,5,0,0.9579,309.5267,7.4710,0.0455,0.1882
1610,322,-26.5554,5,0,0.9305,306.2238,10.5199,0.0789,0.1881
1615,323,-26.6471,5,0,0.9467,312.7451,8.5819,0.0599,0.1880
1620,324,-26.6367,5,0,0.9186,322.7782,7.3104,0.0676,0.1879
1625,325,5.2809,5,0,0.9740,305.0589,7.3103,0.0285,0.1878
1630,326,-10.4617,5,0,0.9258,328.2417,9.1501,0.0635,0.1877
1635,327,-26.7538,5,0,0.9630,212.9100,7.1562,0.0417,0.1876
1640,328,5.2265,5,0,0.9780,232.0477,9.7586,0.0229,0.1875
1645,329,5.4429,5,0,0.9615,287.5750,7.2390,0.0453,0.1874
1650,330,-21.7811,5,0,0.9688,281.5539,8.1635,0.0348,0.1873
1655,331,-10.7220,5,0,0.9652,239.7479,8.8957,0.0358,0.1872
1660,332,-5.8122,5,0,0.9790,267.8143,7.9424,0.0237,0.1871
1665,333,-5.5849,5,0,0.9516,327.5848,7.5114,0.0529,0.1871
1670,334,-26.7403,5,0,0.9592,226.6058,7.8024,0.0438,0.1870
1675,335,-26.7509,5,0,0.9695,336.6482,10.3260,0.0409,0.1869
1680,336,-5.8192,5,0,0.9778,327.4001,7.0332,0.0236,0.1868
1685,337,-37.8487,5,0,0.9672,302.6313,10.0624,0.0381,0.1867
1690,338,44.1542,5,0,0.9784,290.3357,7.4041,3.9292,0.1866
1695,339,-10.7576,5,0,0.9671,287.2316,8.9130,0.0320,0.1865
1700,340,-21.7618,5,0,0.9631,351.5199,7.3273,0.0377,0.1864
1705,341,-26.5561,5,0,0.9325,318.2347,9.9043,0.0728,0.1863
1710,342,-5.4083,5,0,0.9326,300.5276,6.1221,0.0763,0.1862
1715,343,-26.5574,5,0,0.9348,327.0445,11.0198,0.0737,0.1861
1720,344,-37.7350,5,0,0.9489,249.5872,6.8674,0.0622,0.1860
1725,345,-70.0000,5,0,0.8873,242.6377,10.2514,0.1281,0.1859
1730,346,39.3837,5,0,0.9501,212.3577,8.6913,3.0309,0.1858
1735,347,28.3947,5,0,0.9200,298.1764,10.6618,0.5602,0.1857
1740,348,-37.4452,5,0,0.8647,237.8602,9.5897,0.1448,0.1856
